"","frota","ano","trimestre","latitude","longitude","dias_pesca","captura","cpue"
"1","Santos",1995,3,23.25,41.75,8,1000,125
"2","Santos",1996,1,23.25,41.75,4,1000,250
"3","Santos",1999,1,23.25,41.75,5,1750,350
"4","Santos",1998,2,23.75,41.25,9,1800,200
"5","Ubatuba",1995,1,24.25,44.25,8,420,52.5
"6","Ubatuba",1995,1,24.25,44.25,7,315,45
"7","Ubatuba",1995,1,24.25,44.25,8,350,43.75
"8","Ubatuba",1998,2,24.25,45.25,10,3500,350
"9","Ubatuba",1998,2,24.25,45.25,7,950,135.71429
"10","Ubatuba",1998,2,24.25,45.25,8,1000,125
"11","Ubatuba",1998,2,24.25,45.25,7,780,111.42857
"12","Ubatuba",1998,3,24.25,45.25,4,600,150
"13","Ubatuba",1999,2,24.25,44.25,10,820,82
"14","Ubatuba",1999,4,24.25,45.25,10,880,88
"15","Santos",1999,1,24.25,44.75,5,1750,350
"16","Santos",1998,1,24.75,44.25,12,2300,191.66667
"17","Santos",1999,1,24.75,46.25,5,2250,450
"18","Santos",1999,2,24.75,46.25,9,750,78.94737
"19","Santos",1999,2,24.75,45.75,2,106,53
"20","Santos",1999,3,24.75,45.75,4,910,227.5
"21","Santos",1999,4,24.75,46.25,5.5,350,63.63636
"22","Ubatuba",1996,3,25.25,46.25,8,1000,125
"23","Ubatuba",1996,3,25.25,46.25,10,1000,100
"24","Ubatuba",1996,3,25.25,46.25,9,650,72.22222
"25","Ubatuba",1996,3,25.25,46.25,8,500,62.5
"26","Ubatuba",1997,2,25.25,46.25,12,1700,141.66667
"27","Ubatuba",1997,2,25.25,46.25,10,1000,100
"28","Ubatuba",1997,3,25.25,46.25,12,3500,291.66667
"29","Ubatuba",1997,3,25.25,46.25,10,2800,280
"30","Ubatuba",1997,3,25.25,46.25,10,2500,250
"31","Ubatuba",1997,3,25.25,46.25,10,2000,200
"32","Ubatuba",1999,1,25.25,46.25,9,400,44.44444
"33","Ubatuba",1999,2,25.25,46.25,10,2100,210
"34","Ubatuba",1999,2,25.25,46.25,8,420,52.5
"35","Ubatuba",1999,3,25.25,46.25,10,1700,170
"36","Ubatuba",1999,3,25.25,46.25,10,1200,120
"37","Ubatuba",1999,4,25.25,46.25,8,1000,125
"38","Ubatuba",1999,4,25.25,46.25,10,1200,120
"39","Santos",1995,4,25.25,45.75,15,1000,66.66667
"40","Santos",1996,1,25.25,46.25,10,3000,300
"41","Santos",1996,3,25.25,46.25,3.3,266.6667,80
"42","Santos",1998,1,25.25,46.25,10,2200,220
"43","Santos",1998,1,25.25,45.25,14,3000,214.28571
"44","Santos",1998,1,25.25,45.25,14,2000,142.85714
"45","Santos",1999,1,25.25,45.25,12,2700,225
"46","Santos",1999,1,25.25,45.25,12,1000,83.33333
"47","Santos",1999,2,25.25,45.25,2,106,53
"48","Santos",1999,3,25.25,46.25,1.5,350,233.33333
"49","Santos",1999,3,25.25,44.75,4,910,227.5
"50","Santos",1999,4,25.25,46.25,9,1949,216.55556
"51","Santos",1999,4,25.25,44.75,6,1000,166.66667
"52","Ubatuba",1996,2,25.75,46.25,6,1500,250
"53","Ubatuba",1996,2,25.75,46.25,6,850,141.66667
